company_name,company_number,status,date_of_creation,postcode,full_address,sic_codes,company_type,next_due
OC353080 LLP,OC353080,active,2010-03-10,N134QU,"87 Devonshire Road, Palmers Green, London",N/A,llp,2013-12-31
KZY LTD,12211146,active,2019-09-17,N135TW,"290 Green Lanes, Palmers Green, London, United Kingdom",41202,ltd,2021-06-17
KK PARTS & CAR SALES (UK) LTD,12059269,active,2019-06-19,N134TY,"Flat E, 401 Green Lanes, Palmers Green, London, United Kingdom",45112,ltd,2021-06-19
OLAY GAZETESI LTD,12513780,active,2020-03-12,N135ED,"5 Cheapside, North Circular Road, Palmers Green, London, United Kingdom",58130,ltd,2022-12-31
PRO1 PERSONNEL & HEALTHCARE LTD,10545899,active,2017-01-04,N134XS,"281 Green Lanes, Palmers Green, London, United Kingdom",86101,ltd,2024-10-31
GLOBAL TALENT SCOUTING TROTTERS LTD,11741003,active,2018-12-24,N134NG,"89 Palmerston Crescent, Palmers Green, London, Enfiled, England","85510, 93199",ltd,2023-09-30
MOCHA BOX LIMITED,09131824,active,2014-07-15,N134XS,"293 Green Lanes, Palmers Green, London",96090,ltd,2025-05-31
IEDA PROPERTIES LTD,12517671,active,2020-03-13,N134PJ,"10a Aldermans Hill, Palmers Green, London, England","68310, 68320",ltd,2025-06-26
GOFINEST LTD,13291447,active,2021-03-25,N135ED,"6 Cheapside, Palmers Green, London, England",41100,ltd,2024-12-31
CH BEAUTY WORLD LTD,13634432,active,2021-09-21,N135XD,"1st Floor 446a Green Lanes, Palmers Green, London, United Kingdom",96020,ltd,2024-09-24
ARCANISTA LTD,11373154,active,2018-05-21,N135QW,"37 Rayleigh Road, Palmers Green, London, United Kingdom",63990,ltd,2025-02-28
